game, timeslot, broker, netDemand, mktQty, mktCost, imbalance, imbalanceCost, mktImbCost, estCost
PowerTAC_2018_Finals_260,380,default broker,-3.285,0.000,0.000,-3.285,0.019,0.040,-0.435
PowerTAC_2018_Finals_260,381,SPOT,519.580,62.729,-2.245,582.309,144.434,59.163,0.000
PowerTAC_2018_Finals_260,381,AgentUDE,-41259.086,37690.425,-4418.427,-4775.261,-1184.437,-485.172,-485.172
PowerTAC_2018_Finals_260,381,default broker,-0.615,0.000,0.000,-0.615,-0.153,-0.062,-0.062
PowerTAC_2018_Finals_260,382,SPOT,426.074,1307.022,-29.077,1733.096,405.748,177.322,0.000
PowerTAC_2018_Finals_260,382,AgentUDE,-47827.452,39600.530,-4254.529,-9433.522,-2208.550,-965.194,-965.194
PowerTAC_2018_Finals_260,382,default broker,-5.664,0.000,0.000,-5.664,-1.326,-0.580,-0.580
PowerTAC_2018_Finals_260,383,SPOT,395.770,1176.320,-26.182,1572.090,208.833,91.864,0.000
PowerTAC_2018_Finals_260,383,AgentUDE,-54763.799,43373.938,-3817.378,-11692.410,-1553.191,-683.235,-683.235
PowerTAC_2018_Finals_260,383,default broker,-5.756,0.000,0.000,-5.756,-0.765,-0.336,-0.336
PowerTAC_2018_Finals_260,384,SPOT,474.120,1058.688,-23.529,1532.808,1.553,-6.459,0.000
PowerTAC_2018_Finals_260,384,AgentUDE,-47908.682,48050.902,-4175.585,1342.221,-3.131,-5.655,0.000
PowerTAC_2018_Finals_260,384,default broker,0.000,0.000,0.000,0.000,0.000,-0.000,0.000
PowerTAC_2018_Finals_260,385,SPOT,-74.160,43.807,-0.186,-30.353,-0.021,0.134,-1.676
PowerTAC_2018_Finals_260,385,AgentUDE,-47355.214,47514.014,-4120.604,1365.400,-0.801,-6.048,0.000
PowerTAC_2018_Finals_260,385,default broker,0.000,0.000,0.000,0.000,0.000,-0.000,0.000
PowerTAC_2018_Finals_260,386,SPOT,537.640,77.200,-0.431,614.840,-5.387,-4.830,0.000
PowerTAC_2018_Finals_260,386,AgentUDE,-37497.192,46968.301,-4393.617,9925.656,-104.621,-77.979,0.000
PowerTAC_2018_Finals_260,386,default broker,0.000,0.000,0.000,0.000,0.000,-0.000,0.000
PowerTAC_2018_Finals_260,387,SPOT,331.800,67.090,-0.011,398.890,-7.555,0.000,0.000
PowerTAC_2018_Finals_260,387,AgentUDE,-38932.955,57497.748,-2424.435,18572.814,-352.358,0.000,0.000
PowerTAC_2018_Finals_260,387,default broker,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PowerTAC_2018_Finals_260,388,SPOT,348.760,60.040,-0.595,408.800,43.642,16.885,0.000
PowerTAC_2018_Finals_260,388,AgentUDE,-48217.329,41369.055,-2888.295,-8061.474,-860.613,-332.960,-332.960
PowerTAC_2018_Finals_260,388,default broker,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PowerTAC_2018_Finals_260,389,SPOT,306.440,55.100,-0.527,361.540,-7.575,-3.156,0.000
PowerTAC_2018_Finals_260,389,AgentUDE,-51564.223,77194.615,-3220.661,26843.592,-685.796,-234.350,0.000
PowerTAC_2018_Finals_260,389,default broker,0.000,0.000,0.000,0.000,0.000,-0.000,0.000
PowerTAC_2018_Finals_260,390,SPOT,530.790,54.940,-0.024,585.730,-5.439,-1.798,0.000
PowerTAC_2018_Finals_260,390,AgentUDE,-37758.035,46773.904,-2758.365,9084.489,-86.834,-27.890,0.000
PowerTAC_2018_Finals_260,390,default broker,0.280,0.000,0.000,0.280,-0.003,-0.001,0.000
PowerTAC_2018_Finals_260,391,SPOT,1525.423,57.300,-0.002,1582.723,-12.735,-64.930,0.000
PowerTAC_2018_Finals_260,391,AgentUDE,-37782.134,43045.613,-2541.678,5264.900,-42.395,-215.989,0.000
PowerTAC_2018_Finals_260,391,default broker,1.250,0.000,0.000,1.250,-0.010,-0.051,0.000
PowerTAC_2018_Finals_260,392,SPOT,2384.500,39.980,-0.310,2424.480,284.948,113.753,0.000
PowerTAC_2018_Finals_260,392,AgentUDE,-47779.547,40934.529,-2243.253,-8064.818,-947.853,-378.390,-378.390
PowerTAC_2018_Finals_260,392,default broker,-0.266,0.000,0.000,-0.266,-0.031,-0.012,-0.012
PowerTAC_2018_Finals_260,393,SPOT,3632.423,77.870,-4.088,3710.293,495.210,207.198,0.000
PowerTAC_2018_Finals_260,393,AgentUDE,-49572.989,44203.589,-2647.496,-6587.829,-879.272,-367.891,-367.891
PowerTAC_2018_Finals_260,393,default broker,0.790,0.000,0.000,0.790,0.105,0.044,0.000
PowerTAC_2018_Finals_260,394,SPOT,4199.520,72.873,-3.493,4272.393,-22.023,-72.629,0.000
PowerTAC_2018_Finals_260,394,AgentUDE,-42654.574,46860.557,-2958.189,5407.354,-52.206,-91.923,0.000
PowerTAC_2018_Finals_260,394,default broker,4.887,0.000,0.000,4.887,-0.025,-0.083,0.000
PowerTAC_2018_Finals_260,395,SPOT,4615.180,67.312,-0.465,4682.492,-7.819,-86.997,0.000
PowerTAC_2018_Finals_260,395,AgentUDE,-48649.657,44449.900,-3489.681,-2990.716,4.994,55.565,-279.320
PowerTAC_2018_Finals_260,395,default broker,2.336,0.000,0.000,2.336,-0.004,-0.043,0.000
PowerTAC_2018_Finals_260,396,SPOT,4467.632,0.000,0.000,4467.632,-0.673,-9.112,0.000
PowerTAC_2018_Finals_260,396,AgentUDE,-44244.103,45828.314,-4078.737,1730.832,-0.794,-3.530,0.000
PowerTAC_2018_Finals_260,396,default broker,4.135,0.000,0.000,4.135,-0.001,-0.008,0.000
PowerTAC_2018_Finals_260,397,SPOT,4175.856,50.108,-0.095,4225.964,-45.658,-22.422,0.000
PowerTAC_2018_Finals_260,397,AgentUDE,-37486.549,45054.689,-1301.078,7583.320,-82.373,-40.235,0.000
PowerTAC_2018_Finals_260,397,default broker,1.760,0.000,0.000,1.760,-0.019,-0.009,0.000
PowerTAC_2018_Finals_260,398,SPOT,1367.810,0.000,0.000,1367.810,-3.333,-8.407,0.000
PowerTAC_2018_Finals_260,398,AgentUDE,-40999.403,42077.131,-2017.068,1079.374,-2.637,-6.634,0.000
PowerTAC_2018_Finals_260,398,default broker,-3.856,0.000,0.000,-3.856,0.009,0.024,-0.480
PowerTAC_2018_Finals_260,399,SPOT,990.726,0.000,0.000,990.726,-2.622,-3.207,0.000
PowerTAC_2018_Finals_260,399,AgentUDE,-39777.159,41631.468,-3547.705,1855.730,-4.921,-6.008,0.000
PowerTAC_2018_Finals_260,399,default broker,-1.753,0.000,0.000,-1.753,0.005,0.006,-0.263
PowerTAC_2018_Finals_260,400,SPOT,925.722,0.000,0.000,925.722,-0.876,-7.411,0.000
PowerTAC_2018_Finals_260,400,AgentUDE,-40757.955,40885.352,-4360.567,128.819,-0.123,-1.031,0.000
PowerTAC_2018_Finals_260,400,default broker,-0.296,0.000,0.000,-0.296,0.000,0.002,-0.038
PowerTAC_2018_Finals_260,401,SPOT,763.870,0.000,0.000,763.870,-2.689,-0.689,0.000
PowerTAC_2018_Finals_260,401,AgentUDE,-38488.868,41626.933,-3038.548,3139.486,-11.070,-2.834,0.000
PowerTAC_2018_Finals_260,401,default broker,-1.155,0.000,0.000,-1.155,0.004,0.001,-0.002
PowerTAC_2018_Finals_260,402,SPOT,539.812,118.536,-6.649,658.348,-2.977,-2.501,0.000
PowerTAC_2018_Finals_260,402,AgentUDE,-35554.183,39883.904,-3216.301,4331.142,-19.611,-16.452,0.000
PowerTAC_2018_Finals_260,402,default broker,-1.849,0.000,0.000,-1.849,0.008,0.007,-0.246
PowerTAC_2018_Finals_260,403,SPOT,328.782,120.321,-6.876,449.102,-1.048,-5.698,0.000
PowerTAC_2018_Finals_260,403,AgentUDE,-35713.521,38149.596,-2222.091,2437.496,-5.700,-30.926,0.000
PowerTAC_2018_Finals_260,403,default broker,-2.432,0.000,0.000,-2.432,0.006,0.031,-0.352
PowerTAC_2018_Finals_260,404,SPOT,-9986.324,0.000,0.000,-9986.324,-2637.782,-1133.302,-1133.302
PowerTAC_2018_Finals_260,404,AgentUDE,-35153.846,37171.598,-2534.758,804.552,212.514,91.305,0.000
PowerTAC_2018_Finals_260,404,default broker,-0.473,16.885,-0.031,16.412,4.335,1.863,0.000
PowerTAC_2018_Finals_260,405,SPOT,-9193.251,117.260,-3.310,-9075.991,-1732.256,-727.263,-727.263
PowerTAC_2018_Finals_260,405,AgentUDE,-40967.748,41627.013,-2704.128,-553.934,-105.725,-44.387,-44.387
PowerTAC_2018_Finals_260,405,default broker,-1.149,0.000,0.000,-1.149,-0.219,-0.092,-0.092
PowerTAC_2018_Finals_260,406,SPOT,-8652.438,9438.456,-1033.190,786.018,-3.064,-6.127,0.000
PowerTAC_2018_Finals_260,406,AgentUDE,-33552.777,40942.010,-1859.544,8598.833,-69.575,-67.031,0.000
PowerTAC_2018_Finals_260,406,default broker,-1.674,0.000,0.000,-1.674,0.007,0.013,-0.153
PowerTAC_2018_Finals_260,407,SPOT,-8133.877,8724.451,0.000,590.574,101.668,43.994,0.000
PowerTAC_2018_Finals_260,407,AgentUDE,-42896.542,36331.474,-1311.268,-7778.267,-1339.043,-579.436,-579.436
PowerTAC_2018_Finals_260,407,default broker,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PowerTAC_2018_Finals_260,408,SPOT,-11087.222,8670.955,-558.728,-2416.267,3.667,53.164,-129.747
PowerTAC_2018_Finals_260,408,AgentUDE,-41735.897,48943.199,-2059.899,8416.902,-48.646,-185.193,0.000
PowerTAC_2018_Finals_260,408,default broker,-1.662,0.000,0.000,-1.662,0.003,0.037,-0.089
PowerTAC_2018_Finals_260,409,SPOT,-11613.215,8325.843,-447.391,-3287.372,-364.340,-147.206,-147.206
PowerTAC_2018_Finals_260,409,AgentUDE,-38734.672,39875.568,-2046.833,-72.304,-8.013,-3.238,-3.238
PowerTAC_2018_Finals_260,409,default broker,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PowerTAC_2018_Finals_260,410,SPOT,-12675.210,8499.595,-494.321,-4175.615,-4.943,30.473,-202.372
PowerTAC_2018_Finals_260,410,AgentUDE,-34244.537,39874.391,-1692.031,6850.855,-11.295,-49.996,0.000
PowerTAC_2018_Finals_260,410,default broker,0.000,0.000,0.000,0.000,0.000,-0.000,0.000
PowerTAC_2018_Finals_260,411,SPOT,-12414.467,9629.089,-459.718,-2785.378,-1.495,27.113,-110.818
PowerTAC_2018_Finals_260,411,AgentUDE,-31576.739,37103.972,-1936.915,6747.032,-20.228,-65.676,0.000
PowerTAC_2018_Finals_260,411,default broker,0.000,0.000,0.000,0.000,0.000,-0.000,0.000
PowerTAC_2018_Finals_260,412,SPOT,-13641.791,10462.990,-466.207,-3178.801,-287.800,-118.033,-118.033
PowerTAC_2018_Finals_260,412,AgentUDE,-34386.090,37369.490,-1475.799,1756.999,159.074,65.240,0.000
PowerTAC_2018_Finals_260,412,default broker,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PowerTAC_2018_Finals_260,413,SPOT,-15267.006,12344.260,-826.571,-2922.746,-3.692,3.969,-163.089
PowerTAC_2018_Finals_260,413,AgentUDE,-36606.403,39621.054,-1411.588,4239.251,-5.382,-5.756,0.000
PowerTAC_2018_Finals_260,413,default broker,0.000,0.000,0.000,0.000,0.000,-0.000,0.000
PowerTAC_2018_Finals_260,414,SPOT,-15771.383,13094.588,-702.991,-2676.795,-311.481,-119.755,-119.755
PowerTAC_2018_Finals_260,414,AgentUDE,-38720.150,33630.980,-1803.487,-6315.571,-734.901,-282.546,-282.546
PowerTAC_2018_Finals_260,414,default broker,0.270,0.000,0.000,0.270,0.031,0.012,0.000
PowerTAC_2018_Finals_260,415,SPOT,-16560.429,14361.509,-1059.687,-2198.920,-333.138,-135.209,-135.209
PowerTAC_2018_Finals_260,415,AgentUDE,-39908.033,39388.273,-1244.036,-1729.961,-262.090,-106.373,-106.373
PowerTAC_2018_Finals_260,415,default broker,1.501,0.000,0.000,1.501,0.227,0.092,0.000
PowerTAC_2018_Finals_260,416,SPOT,-18636.096,16098.193,-1066.741,-2537.903,9.297,1.081,-160.165
PowerTAC_2018_Finals_260,416,AgentUDE,-28820.111,39695.271,-1699.456,12091.359,-93.847,-5.149,0.000
PowerTAC_2018_Finals_260,416,default broker,3.943,0.000,0.000,3.943,-0.014,-0.002,0.000
PowerTAC_2018_Finals_260,417,SPOT,-19859.327,16106.737,-1249.237,-3752.590,-0.978,13.538,-242.542
PowerTAC_2018_Finals_260,417,AgentUDE,-27610.333,35044.986,-2068.499,8652.653,-27.001,-31.217,0.000
PowerTAC_2018_Finals_260,417,default broker,3.371,0.000,0.000,3.371,0.001,-0.012,0.000
PowerTAC_2018_Finals_260,418,SPOT,-18780.219,15909.520,-1835.762,-2870.699,1.879,52.075,-276.036
PowerTAC_2018_Finals_260,418,AgentUDE,-23823.135,31001.505,-2326.713,7630.114,-13.866,-138.411,0.000
PowerTAC_2018_Finals_260,418,default broker,2.010,0.000,0.000,2.010,-0.001,-0.036,0.000
PowerTAC_2018_Finals_260,419,SPOT,-19561.791,16172.477,-1543.073,-3389.314,-921.655,-379.175,-379.175
PowerTAC_2018_Finals_260,419,AgentUDE,-26999.217,28173.572,-2034.462,-45.445,-12.358,-5.084,-5.084
PowerTAC_2018_Finals_260,419,default broker,2.300,0.000,0.000,2.300,0.625,0.257,0.000
PowerTAC_2018_Finals_260,420,SPOT,-19418.921,16645.531,-2375.143,-2773.390,-1.954,9.643,-376.889
PowerTAC_2018_Finals_260,420,AgentUDE,-25344.194,28116.656,-2572.988,3577.666,-2.521,-12.440,0.000
PowerTAC_2018_Finals_260,420,default broker,0.928,0.000,0.000,0.928,0.001,-0.003,0.000
PowerTAC_2018_Finals_260,421,SPOT,-20166.793,17937.856,-2315.579,-2228.937,3.125,45.809,-239.776
PowerTAC_2018_Finals_260,421,AgentUDE,-21554.689,26596.286,-1993.341,5523.153,-17.361,-113.513,0.000
PowerTAC_2018_Finals_260,421,default broker,0.655,0.000,0.000,0.655,-0.001,-0.013,0.000
PowerTAC_2018_Finals_260,422,SPOT,-19824.511,17395.298,-3848.704,-2429.213,1.771,65.152,-447.886
PowerTAC_2018_Finals_260,422,AgentUDE,-20957.870,24480.785,-2829.790,3524.336,-2.587,-94.524,0.000
PowerTAC_2018_Finals_260,422,default broker,2.244,0.000,0.000,2.244,-0.002,-0.060,0.000
PowerTAC_2018_Finals_260,423,SPOT,-21148.761,17196.659,-4329.684,-3952.102,-2106.728,-872.381,-872.381
PowerTAC_2018_Finals_260,423,AgentUDE,-21137.554,23014.879,-2718.407,657.525,350.504,145.141,0.000
PowerTAC_2018_Finals_260,423,default broker,1.512,0.000,0.000,1.512,0.806,0.334,0.000
PowerTAC_2018_Finals_260,424,SPOT,-23537.286,17516.935,-5591.383,-6020.351,-3858.647,-1601.407,-1673.102
PowerTAC_2018_Finals_260,424,AgentUDE,-18127.157,22824.449,-2951.572,3484.092,2233.073,926.765,0.000
PowerTAC_2018_Finals_260,424,default broker,-0.317,0.000,0.000,-0.317,-0.203,-0.084,-0.084
PowerTAC_2018_Finals_260,425,SPOT,-22486.931,16426.283,-4948.696,-6060.648,-3671.453,-1521.561,-1521.561
PowerTAC_2018_Finals_260,425,AgentUDE,-18069.409,21194.707,-2812.881,2809.548,1701.984,705.353,0.000
PowerTAC_2018_Finals_260,425,default broker,-0.707,0.000,0.000,-0.707,-0.428,-0.177,-0.177
PowerTAC_2018_Finals_260,426,SPOT,-19162.030,14484.210,-3628.023,-4677.821,-2447.630,-1064.591,-1064.591
PowerTAC_2018_Finals_260,426,AgentUDE,-20690.905,19650.585,-2709.267,-1046.920,-547.792,-238.261,-238.261
PowerTAC_2018_Finals_260,426,default broker,-1.529,0.000,0.000,-1.529,-0.800,-0.348,-0.330
PowerTAC_2018_Finals_260,427,SPOT,-16298.937,13371.473,-3184.401,-2927.464,-3.531,13.872,-580.977
PowerTAC_2018_Finals_260,427,AgentUDE,-18527.972,22827.997,-1760.075,5500.222,-6.101,-26.064,0.000
PowerTAC_2018_Finals_260,427,default broker,-0.516,0.000,0.000,-0.516,-0.001,0.002,-0.102
PowerTAC_2018_Finals_260,428,SPOT,-15698.194,12449.297,-2561.931,-3248.897,-1453.845,-611.768,-572.622
PowerTAC_2018_Finals_260,428,AgentUDE,-39249.069,19165.901,-1643.251,-21235.018,-9502.432,-3998.558,-3998.558
PowerTAC_2018_Finals_260,428,default broker,-2.274,0.000,0.000,-2.274,-1.018,-0.428,-0.401
PowerTAC_2018_Finals_260,429,SPOT,-13010.843,11961.484,-1563.815,-1049.359,-422.451,-186.224,-186.224
PowerTAC_2018_Finals_260,429,AgentUDE,-34406.267,29412.628,-3275.620,-5000.239,-2012.995,-887.365,-887.365
PowerTAC_2018_Finals_260,429,default broker,-4.224,0.000,0.000,-4.224,-1.700,-0.750,-0.750
PowerTAC_2018_Finals_260,430,SPOT,-13540.658,11844.790,-804.146,-1695.868,22.622,33.457,-197.110
PowerTAC_2018_Finals_260,430,AgentUDE,-26482.641,28178.702,-2344.517,1928.845,25.730,-38.053,0.000
PowerTAC_2018_Finals_260,430,default broker,-0.194,0.000,0.000,-0.194,0.003,0.004,-0.023
PowerTAC_2018_Finals_260,431,SPOT,-13096.114,11329.920,-567.803,-1766.195,-361.080,-146.639,-146.639
PowerTAC_2018_Finals_260,431,AgentUDE,-34654.689,31475.444,-2453.877,-3412.238,-697.597,-283.303,-283.303
PowerTAC_2018_Finals_260,431,default broker,-0.260,0.000,0.000,-0.260,-0.053,-0.022,-0.022
PowerTAC_2018_Finals_260,432,SPOT,-12973.268,14420.151,-630.618,1446.883,1.374,-22.194,0.000
PowerTAC_2018_Finals_260,432,AgentUDE,-31280.116,31729.508,-1800.557,1649.391,-3.814,-25.300,0.000
PowerTAC_2018_Finals_260,432,default broker,0.000,0.000,0.000,0.000,0.000,-0.000,0.000
PowerTAC_2018_Finals_260,433,SPOT,-12001.678,14252.107,-468.985,2250.429,-4.124,-15.036,0.000
PowerTAC_2018_Finals_260,433,AgentUDE,-28211.373,30914.067,-1405.257,3914.094,-24.370,-26.152,0.000
PowerTAC_2018_Finals_260,433,default broker,0.000,0.000,0.000,0.000,0.000,-0.000,0.000
PowerTAC_2018_Finals_260,434,SPOT,-11523.647,14176.616,-602.647,2652.969,-5.771,-71.820,0.000
PowerTAC_2018_Finals_260,434,AgentUDE,-29777.499,27787.374,-1844.929,-1536.167,3.342,41.587,-148.507
PowerTAC_2018_Finals_260,434,default broker,0.000,0.000,0.000,0.000,0.000,-0.000,0.000
PowerTAC_2018_Finals_260,435,SPOT,-11360.376,13009.178,-545.987,1648.802,204.434,78.575,0.000
PowerTAC_2018_Finals_260,435,AgentUDE,-41840.556,27862.804,-1429.488,-15197.552,-1884.338,-724.254,-724.254
PowerTAC_2018_Finals_260,435,default broker,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PowerTAC_2018_Finals_260,436,SPOT,-12473.016,14341.821,-575.235,1868.805,211.559,86.055,0.000
PowerTAC_2018_Finals_260,436,AgentUDE,-41522.403,34579.192,-1333.191,-8163.011,-924.099,-375.892,-375.892
PowerTAC_2018_Finals_260,436,default broker,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PowerTAC_2018_Finals_260,437,SPOT,-13844.616,15803.479,-761.154,1958.862,-1.305,-5.876,0.000
PowerTAC_2018_Finals_260,437,AgentUDE,-35382.895,37827.585,-1845.754,3651.290,-16.404,-10.953,0.000
PowerTAC_2018_Finals_260,437,default broker,0.000,0.000,0.000,0.000,0.000,-0.000,0.000
PowerTAC_2018_Finals_260,438,SPOT,-14614.254,16357.582,-1064.504,1743.328,1.633,-3.546,0.000
PowerTAC_2018_Finals_260,438,AgentUDE,-37683.750,36566.440,-3161.609,100.689,-0.034,-0.205,0.000
PowerTAC_2018_Finals_260,438,default broker,0.190,0.000,0.000,0.190,0.000,-0.000,0.000
PowerTAC_2018_Finals_260,439,SPOT,-16408.261,18239.511,-1510.593,1831.250,527.505,214.333,0.000
PowerTAC_2018_Finals_260,439,AgentUDE,-44327.297,36556.871,-3141.144,-8990.226,-2589.702,-1052.231,-1052.231
PowerTAC_2018_Finals_260,439,default broker,1.470,0.000,0.000,1.470,0.423,0.172,0.000
PowerTAC_2018_Finals_260,440,SPOT,-19902.758,21500.346,-1700.787,1597.588,387.974,183.406,0.000
PowerTAC_2018_Finals_260,440,AgentUDE,-42092.555,39940.381,-3319.228,-3365.374,-817.281,-386.350,-386.350
PowerTAC_2018_Finals_260,440,default broker,1.130,0.000,0.000,1.130,0.274,0.130,0.000
PowerTAC_2018_Finals_260,441,SPOT,-20424.845,23711.330,-1113.003,3286.484,-0.484,-25.551,0.000
